,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
60,"61,-0.4536727,-0.5589769,0.45218676,1.7503791,-9.641875,-0.37523785,-0.007323477,-0.0018641578,0.0014646954,1.7892331,-9.959526,-0.40857446"
61,"62,-0.4536727,-0.5589769,0.45218676,1.7503791,-9.641875,-0.37523785,-0.0054593193,0.0026630824,0.0011983871,1.7892331,-9.959526,-0.40857446"
62,"63,-0.4536727,-0.5589769,0.45218676,1.7503791,-9.641875,-0.37523785,-0.0054593193,0.0026630824,0.0011983871,1.7892331,-9.959526,-0.40857446"
63,"64,-0.4536727,-0.5589769,0.45218676,1.7503791,-9.641875,-0.37523785,-0.0054593193,0.0026630824,0.0011983871,1.7892331,-9.959526,-0.40857446"
64,"65,-0.4536727,-0.5589769,0.45218676,1.7503791,-9.641875,-0.37523785,-0.0054593193,0.0026630824,0.0011983871,1.7892331,-9.959526,-0.40857446"
65,"66,-0.454,-0.55947816,0.45175773,1.7458483,-9.642136,-0.38939685,-0.0054593193,0.0026630824,0.0011983871,1.8071793,-9.966106,-0.40079778"
66,"67,-0.454,-0.55947816,0.45175773,1.7458483,-9.642136,-0.38939685,-0.0026630824,0.00013315413,0.00013315413,1.8071793,-9.966106,-0.40079778"
67,"68,-0.454,-0.55947816,0.45175773,1.7458483,-9.642136,-0.38939685,-0.0026630824,0.00013315413,0.00013315413,1.8071793,-9.966106,-0.40079778"
68,"69,-0.454,-0.55947816,0.45175773,1.7458483,-9.642136,-0.38939685,-0.0026630824,0.00013315413,0.00013315413,1.8071793,-9.966106,-0.40079778"
69,"70,-0.45442942,-0.55977464,0.4515532,1.7443806,-9.64233,-0.39115012,-0.0026630824,0.00013315413,0.00013315413,1.8071793,-9.966106,-0.40079778"
70,"71,-0.45442942,-0.55977464,0.4515532,1.7443806,-9.64233,-0.39115012,-0.0026630824,0.00013315413,0.00013315413,1.8143578,-9.957731,-0.41934216"
71,"72,-0.45442942,-0.55977464,0.4515532,1.7443806,-9.64233,-0.39115012,-0.0015978495,-0.0015978495,0.0013315412,1.8143578,-9.957731,-0.41934216"
72,"73,-0.45465237,-0.56004024,0.4513357,1.7412015,-9.6427765,-0.39428952,0.0015978495,-0.0037283157,0.0015978495,1.7874385,-9.958329,-0.42771706"
