,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
122,"123,-2.5421011,2.781252,0.7613624,3.549984,-9.112099,0.73325515,-0.03101556,-0.12299762,0.1006257,0.14367934,-0.1731659,0.013913765"
123,"124,-2.5421011,2.781252,0.7613624,3.549984,-9.112099,0.73325515,-0.03101556,-0.12299762,0.1006257,0.14367934,-0.1731659,0.013913765"
124,"125,-2.552136,2.777695,0.7214424,3.5330758,-9.11682,0.75586253,-0.046630334,-0.13138044,0.104188986,-0.40424395,0.2227015,-0.65542674"
125,"126,-2.552136,2.777695,0.7214424,3.5330758,-9.11682,0.75586253,-0.046630334,-0.13138044,0.104188986,-0.40424395,0.2227015,-0.65542674"
126,"127,-2.552136,2.777695,0.7214424,3.5330758,-9.11682,0.75586253,-0.046630334,-0.13138044,0.104188986,-0.40424395,0.2227015,-0.65542674"
127,"128,-2.552136,2.777695,0.7214424,3.5330758,-9.11682,0.75586253,-0.046630334,-0.13138044,0.104188986,-0.40424395,0.2227015,-0.65542674"
128,"129,-2.552136,2.777695,0.7214424,3.5330758,-9.11682,0.75586253,-0.046630334,-0.13138044,0.104188986,-0.40424395,0.2227015,-0.65542674"
129,"130,-2.552136,2.777695,0.7214424,3.5330758,-9.11682,0.75586253,-0.046630334,-0.13138044,0.104188986,-0.40424395,0.2227015,-0.65542674"
130,"131,-2.557717,2.7708192,0.68589216,3.5463276,-9.111922,0.75287485,-0.039866805,-0.13487664,0.097933285,-0.02704522,0.014776021,0.90379333"
131,"132,-2.557717,2.7708192,0.68589216,3.5463276,-9.111922,0.75287485,-0.039866805,-0.13487664,0.097933285,-0.02704522,0.014776021,0.90379333"
132,"133,-2.557717,2.7708192,0.68589216,3.5463276,-9.111922,0.75287485,-0.039866805,-0.13487664,0.097933285,-0.02704522,0.014776021,0.90379333"
133,"134,-2.557717,2.7708192,0.68589216,3.5463276,-9.111922,0.75287485,-0.039866805,-0.13487664,0.097933285,-0.02704522,0.014776021,0.90379333"
134,"135,-2.557717,2.7708192,0.68589216,3.5463276,-9.111922,0.75287485,-0.039866805,-0.13487664,0.097933285,-0.02704522,0.014776021,0.90379333"
135,"136,-2.557717,2.7708192,0.68589216,3.5463276,-9.111922,0.75287485,-0.039866805,-0.13487664,0.097933285,-0.02704522,0.014776021,0.90379333"
136,"137,-2.563019,2.7636123,0.6599007,3.560809,-9.106413,0.751181,-0.017425692,-0.12916389,0.07954411,0.004205937,-0.1110839,0.037218094"
137,"138,-2.563019,2.7636123,0.6599007,3.560809,-9.106413,0.751181,-0.017425692,-0.12916389,0.07954411,0.004205937,-0.1110839,0.037218094"
138,"139,-2.563019,2.7636123,0.6599007,3.560809,-9.106413,0.751181,-0.017425692,-0.12916389,0.07954411,0.004205937,-0.1110839,0.037218094"
139,"140,-2.563019,2.7636123,0.6599007,3.560809,-9.106413,0.751181,-0.017425692,-0.12916389,0.07954411,0.004205937,-0.1110839,0.037218094"
140,"141,-2.563019,2.7636123,0.6599007,3.560809,-9.106413,0.751181,-0.017425692,-0.12916389,0.07954411,0.004205937,-0.1110839,0.037218094"
141,"142,-2.563019,2.7636123,0.6599007,3.560809,-9.106413,0.751181,-0.017425692,-0.12916389,0.07954411,0.004205937,-0.1110839,0.037218094"
142,"143,-2.5660303,2.7548628,0.64440036,3.5918992,-9.093687,0.7573011,0.002727555,-0.11485541,0.051376406,-0.41142675,0.09082819,0.11008285"
