,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
73,"74,2.1018717,-0.06996983,0.21275528,-0.5932326,-4.0165997,8.926667,-0.0011412721,-0.0035568937,0.009298387,0.018106535,0.011894729,0.0037101915"
74,"75,2.1018717,-0.06996983,0.21275528,-0.5932326,-4.0165997,8.926667,-0.0011412721,-0.0035568937,0.009298387,0.018106535,0.011894729,0.0037101915"
75,"76,2.1018717,-0.06996983,0.21275528,-0.5932326,-4.0165997,8.926667,-0.0011412721,-0.0035568937,0.009298387,0.018106535,0.011894729,0.0037101915"
76,"77,2.1018717,-0.06996983,0.21275528,-0.5932326,-4.0165997,8.926667,-0.0011412721,-0.0035568937,0.009298387,0.018106535,0.011894729,0.0037101915"
77,"78,2.1018717,-0.06996983,0.21275528,-0.5932326,-4.0165997,8.926667,-0.0011412721,-0.0035568937,0.009298387,0.018106535,0.011894729,0.0037101915"
78,"79,2.1034997,-0.06818639,0.2005284,-0.5865815,-4.033223,8.919609,-0.0005461498,-0.00081124005,0.0027126505,0.019272635,0.005807157,0.003966935"
79,"80,2.1034997,-0.06818639,0.2005284,-0.5865815,-4.033223,8.919609,-0.0005461498,-0.00081124005,0.0027126505,0.019272635,0.005807157,0.003966935"
80,"81,2.1034997,-0.06818639,0.2005284,-0.5865815,-4.033223,8.919609,-0.0005461498,-0.00081124005,0.0027126505,0.019272635,0.005807157,0.003966935"
81,"82,2.1034997,-0.06818639,0.2005284,-0.5865815,-4.033223,8.919609,-0.0005461498,-0.00081124005,0.0027126505,0.019272635,0.005807157,0.003966935"
82,"83,2.1051764,-0.067369185,0.19090351,-0.5857165,-4.04672,8.91355,-6.174793e-05,0.0021388205,-0.00377727,0.020337043,0.007848127,0.0018849892"
83,"84,2.1051764,-0.067369185,0.19090351,-0.5857165,-4.04672,8.91355,-6.174793e-05,0.0021388205,-0.00377727,0.020337043,0.007848127,0.0018849892"
84,"85,2.1051764,-0.067369185,0.19090351,-0.5857165,-4.04672,8.91355,-6.174793e-05,0.0021388205,-0.00377727,0.020337043,0.007848127,0.0018849892"
85,"86,2.1051764,-0.067369185,0.19090351,-0.5857165,-4.04672,8.91355,-6.174793e-05,0.0021388205,-0.00377727,0.020337043,0.007848127,0.0018849892"
86,"87,2.1051764,-0.067369185,0.19090351,-0.5857165,-4.04672,8.91355,-6.174793e-05,0.0021388205,-0.00377727,0.020337043,0.007848127,0.0018849892"
87,"88,2.1067545,-0.06735224,0.18381181,-0.58977425,-4.0568647,8.90867,0.00035238906,0.0042063114,-0.008150727,0.016506609,0.0058377795,0.0013875426"
88,"89,2.1067545,-0.06735224,0.18381181,-0.58977425,-4.0568647,8.90867,0.00035238906,0.0042063114,-0.008150727,0.016506609,0.0058377795,0.0013875426"
89,"90,2.1067545,-0.06735224,0.18381181,-0.58977425,-4.0568647,8.90867,0.00035238906,0.0042063114,-0.008150727,0.016506609,0.0058377795,0.0013875426"
90,"91,2.1067545,-0.06735224,0.18381181,-0.58977425,-4.0568647,8.90867,0.00035238906,0.0042063114,-0.008150727,0.016506609,0.0058377795,0.0013875426"
91,"92,2.1067545,-0.06735224,0.18381181,-0.58977425,-4.0568647,8.90867,0.00035238906,0.0042063114,-0.008150727,0.016506609,0.0058377795,0.0013875426"
92,"93,2.1067545,-0.06735224,0.18381181,-0.58977425,-4.0568647,8.90867,0.00035238906,0.0042063114,-0.008150727,0.016506609,0.0058377795,0.0013875426"
93,"94,2.1067545,-0.06735224,0.18381181,-0.59978396,-4.064455,8.904541,0.00052592205,0.005062266,-0.009808339,0.021831734,0.0070165056,0.0004784898"
94,"95,2.1067545,-0.06735224,0.18381181,-0.59978396,-4.064455,8.904541,0.00052592205,0.005062266,-0.009808339,0.021831734,0.0070165056,0.0004784898"
95,"96,2.1067545,-0.06735224,0.18381181,-0.59978396,-4.064455,8.904541,0.00052592205,0.005062266,-0.009808339,0.021831734,0.0070165056,0.0004784898"
96,"97,2.1067545,-0.06735224,0.18381181,-0.59978396,-4.064455,8.904541,0.00052592205,0.005062266,-0.009808339,0.021831734,0.0070165056,0.0004784898"
97,"98,2.1067545,-0.06735224,0.18381181,-0.59978396,-4.064455,8.904541,0.00052592205,0.005062266,-0.009808339,0.021831734,0.0070165056,0.0004784898"
98,"99,2.1067545,-0.06735224,0.18381181,-0.59978396,-4.064455,8.904541,0.00052592205,0.005062266,-0.009808339,0.021831734,0.0070165056,0.0004784898"
99,"100,2.1099095,-0.06950112,0.17405775,-0.6136759,-4.0702357,8.900953,0.0004694972,0.005025004,-0.009509182,0.014558267,0.0025223275,-0.0003753452"
100,"101,2.1099095,-0.06950112,0.17405775,-0.6136759,-4.0702357,8.900953,0.0004694972,0.005025004,-0.009509182,0.014558267,0.0025223275,-0.0003753452"
101,"102,2.1099095,-0.06950112,0.17405775,-0.6136759,-4.0702357,8.900953,0.0004694972,0.005025004,-0.009509182,0.014558267,0.0025223275,-0.0003753452"
102,"103,2.1099095,-0.06950112,0.17405775,-0.6136759,-4.0702357,8.900953,0.0004694972,0.005025004,-0.009509182,0.014558267,0.0025223275,-0.0003753452"
103,"104,2.1099095,-0.06950112,0.17405775,-0.6136759,-4.0702357,8.900953,0.0004694972,0.005025004,-0.009509182,0.014558267,0.0025223275,-0.0003753452"
