Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z
0.63413435,0.012961315,-0.7639824,-1.6677474,-9.4718895,1.9163291,-0.12904891,-0.73244864,0.116661005,-0.5300535,-3.4959955,-1.0466292
0.63333887,0.000752492,-0.76201713,-1.687634,-9.46367,1.9393902,-0.15609877,-0.8128668,0.13272823,0.4523015,-4.4427414,0.85045815
0.6333696,-0.015867263,-0.75845176,-1.661878,-9.469391,1.933698,-0.16583471,-0.8661286,0.14248228,0.16318345,2.1278758,1.1147238
0.6335396,-0.03539197,-0.7532401,-1.6295006,-9.479854,1.9098444,-0.16186261,-0.8759167,0.13806304,4.344598,-12.61951,0.9661951
0.63368094,-0.0585034,-0.74581474,-1.5919279,-9.495395,1.8637695,-0.15184349,-0.8428124,0.11882005,2.01817,-2.782961,-0.5008644
0.63235915,-0.085396186,-0.7363441,-1.5573432,-9.509477,1.8206909,-0.14152306,-0.78171813,0.09392073,0.5279119,-0.8439417,-0.27582657
0.6292603,-0.117623225,-0.72348326,-1.5200248,-9.5252495,1.7690474,-0.1304968,-0.7075567,0.07638219,-0.45272136,-0.38763618,0.3025409
0.62358236,-0.15730563,-0.7052615,-1.4729056,-9.546167,1.6945881,-0.11697719,-0.62815636,0.07274225,0.5440307,0.26535034,-2.103391
0.61246836,-0.20238066,-0.681228,-1.4546789,-9.557449,1.6460379,-0.102615476,-0.55084264,0.07624272,0.549746,0.056365967,0.24837959
0.59447086,-0.25308666,-0.6496044,-1.4475064,-9.563137,1.6191105,-0.08966757,-0.48905212,0.076448195,-0.72156405,0.8090439,1.304813
0.5685164,-0.30790666,-0.609604,-1.4327995,-9.567235,1.6079496,-0.0762044,-0.45722213,0.072818905,0.20225537,-6.474803,2.7572823
0.5351127,-0.3645967,-0.56091416,-1.4029251,-9.575776,1.5832573,-0.061966177,-0.46364284,0.07132205,1.9249355,-4.354577,-0.24908257
0.4955423,-0.4172584,-0.5066413,-1.383024,-9.579933,1.5756005,-0.054918397,-0.5077415,0.07495453,0.6408967,-0.13183975,0.31881702
0.45251173,-0.4630916,-0.45040926,-1.3650551,-9.581067,1.5843487,-0.060940947,-0.57623595,0.08217692,-0.11927426,0.18054008,0.4393556
0.40992022,-0.5012139,-0.39560404,-1.3477542,-9.5836115,1.5837761,-0.07286894,-0.64058685,0.090275474,0.021442175,-2.4218054,0.25796902
