,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
69,"70,-2.2904687,2.7636316,1.8508891,3.4504747,-4.030912,8.247203,0.09250372,-0.003614383,0.02662294,-0.0099698575,0.44534552,0.606581"
70,"71,-2.2904687,2.7636316,1.8508891,3.4504747,-4.030912,8.247203,0.09250372,-0.003614383,0.02662294,-0.0099698575,0.44534552,0.606581"
71,"72,-2.2904687,2.7636316,1.8508891,3.4504747,-4.030912,8.247203,0.09250372,-0.003614383,0.02662294,-0.0099698575,0.44534552,0.606581"
72,"73,-2.2904687,2.7636316,1.8508891,3.4504747,-4.030912,8.247203,0.09250372,-0.003614383,0.02662294,-0.0099698575,0.44534552,0.606581"
73,"74,-2.2955413,2.759548,1.8506417,3.5185678,-4.4289975,8.010871,0.07933225,-0.0028638265,0.018002715,-0.18851207,0.47700682,0.5732159"
74,"75,-2.2955413,2.759548,1.8506417,3.5185678,-4.4289975,8.010871,0.07933225,-0.0028638265,0.018002715,-0.18851207,0.47700682,0.5732159"
75,"76,-2.2955413,2.759548,1.8506417,3.5185678,-4.4289975,8.010871,0.07933225,-0.0028638265,0.018002715,-0.18851207,0.47700682,0.5732159"
76,"77,-2.2955413,2.759548,1.8506417,3.5185678,-4.4289975,8.010871,0.07933225,-0.0028638265,0.018002715,-0.18851207,0.47700682,0.5732159"
77,"78,-2.2955413,2.759548,1.8506417,3.5185678,-4.4289975,8.010871,0.07933225,-0.0028638265,0.018002715,-0.18851207,0.47700682,0.5732159"
78,"79,-2.297044,2.752221,1.855662,3.609838,-4.8351874,7.7304864,0.0257936,0.052321788,-0.023297068,-0.39641908,0.9510497,0.9692937"
79,"80,-2.297044,2.752221,1.855662,3.609838,-4.8351874,7.7304864,0.0257936,0.052321788,-0.023297068,-0.39641908,0.9510497,0.9692937"
80,"81,-2.297044,2.752221,1.855662,3.609838,-4.8351874,7.7304864,0.0257936,0.052321788,-0.023297068,-0.39641908,0.9510497,0.9692937"
