,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
99,"100,1.0613308,2.3063056,-2.3651412,4.9927874,-8.130406,2.2669268,0.08179578,-0.003418493,-0.051406216,0.02424379,-0.31617618,-0.29443333"
100,"101,1.0613308,2.3063056,-2.3651412,4.9927874,-8.130406,2.2669268,0.08179578,-0.003418493,-0.051406216,0.02424379,-0.31617618,-0.29443333"
101,"102,1.0613308,2.3063056,-2.3651412,5.029067,-8.103169,2.2841866,0.08074713,-0.014035943,-0.037948363,-0.008666527,-0.15329833,0.1910472"
102,"103,1.0613308,2.3063056,-2.3651412,5.029067,-8.103169,2.2841866,0.08074713,-0.014035943,-0.037948363,-0.008666527,-0.15329833,0.1910472"
103,"104,1.0613308,2.3063056,-2.3651412,5.029067,-8.103169,2.2841866,0.08074713,-0.014035943,-0.037948363,-0.008666527,-0.15329833,0.1910472"
104,"105,1.0613308,2.3063056,-2.3651412,5.029067,-8.103169,2.2841866,0.08074713,-0.014035943,-0.037948363,-0.008666527,-0.15329833,0.1910472"
105,"106,1.0613308,2.3063056,-2.3651412,5.029067,-8.103169,2.2841866,0.08074713,-0.014035943,-0.037948363,-0.008666527,-0.15329833,0.1910472"
106,"107,1.0613308,2.3063056,-2.3651412,5.029067,-8.103169,2.2841866,0.08074713,-0.014035943,-0.037948363,-0.008666527,-0.15329833,0.1910472"
107,"108,1.0656183,2.3114128,-2.3529406,5.0625806,-8.077061,2.3025548,0.08214923,-0.019465502,-0.011633097,0.1948765,-0.006155039,-0.0013498234"
108,"109,1.0656183,2.3114128,-2.3529406,5.0625806,-8.077061,2.3025548,0.08214923,-0.019465502,-0.011633097,0.1948765,-0.006155039,-0.0013498234"
109,"110,1.0656183,2.3114128,-2.3529406,5.0625806,-8.077061,2.3025548,0.08214923,-0.019465502,-0.011633097,0.1948765,-0.006155039,-0.0013498234"
110,"111,1.0656183,2.3114128,-2.3529406,5.0625806,-8.077061,2.3025548,0.08214923,-0.019465502,-0.011633097,0.1948765,-0.006155039,-0.0013498234"
111,"112,1.0656183,2.3114128,-2.3529406,5.0625806,-8.077061,2.3025548,0.08214923,-0.019465502,-0.011633097,0.1948765,-0.006155039,-0.0013498234"
112,"113,1.0656183,2.3114128,-2.3529406,5.0625806,-8.077061,2.3025548,0.08214923,-0.019465502,-0.011633097,0.1948765,-0.006155039,-0.0013498234"
113,"114,1.0656183,2.3114128,-2.3529406,5.094402,-8.065569,2.272456,0.092588894,-0.011727848,0.018224156,0.1332011,-0.35252094,-0.12644656"
114,"115,1.0656183,2.3114128,-2.3529406,5.094402,-8.065569,2.272456,0.092588894,-0.011727848,0.018224156,0.1332011,-0.35252094,-0.12644656"
115,"116,1.0656183,2.3114128,-2.3529406,5.094402,-8.065569,2.272456,0.092588894,-0.011727848,0.018224156,0.1332011,-0.35252094,-0.12644656"
116,"117,1.0656183,2.3114128,-2.3529406,5.094402,-8.065569,2.272456,0.092588894,-0.011727848,0.018224156,0.1332011,-0.35252094,-0.12644656"
117,"118,1.0656183,2.3114128,-2.3529406,5.094402,-8.065569,2.272456,0.092588894,-0.011727848,0.018224156,0.1332011,-0.35252094,-0.12644656"
118,"119,1.0656183,2.3114128,-2.3529406,5.094402,-8.065569,2.272456,0.092588894,-0.011727848,0.018224156,0.1332011,-0.35252094,-0.12644656"
119,"120,1.0656183,2.3114128,-2.3529406,5.1164937,-8.055288,2.2592473,0.09851563,0.0014329778,0.04894375,-0.35754225,0.3079692,0.23194712"
120,"121,1.0656183,2.3114128,-2.3529406,5.1164937,-8.055288,2.2592473,0.09851563,0.0014329778,0.04894375,-0.35754225,0.3079692,0.23194712"
121,"122,1.0656183,2.3114128,-2.3529406,5.1164937,-8.055288,2.2592473,0.09851563,0.0014329778,0.04894375,-0.35754225,0.3079692,0.23194712"
122,"123,1.0656183,2.3114128,-2.3529406,5.1164937,-8.055288,2.2592473,0.09851563,0.0014329778,0.04894375,-0.35754225,0.3079692,0.23194712"
123,"124,1.0656183,2.3114128,-2.3529406,5.1164937,-8.055288,2.2592473,0.09851563,0.0014329778,0.04894375,-0.35754225,0.3079692,0.23194712"
124,"125,1.0656183,2.3114128,-2.3529406,5.1164937,-8.055288,2.2592473,0.09851563,0.0014329778,0.04894375,-0.35754225,0.3079692,0.23194712"
125,"126,1.0730997,2.2973843,-2.3534586,5.1305814,-8.047963,2.2534032,0.091310285,0.00074629823,0.07421782,0.0021696333,0.062218353,-0.30655038"
126,"127,1.0730997,2.2973843,-2.3534586,5.1305814,-8.047963,2.2534032,0.091310285,0.00074629823,0.07421782,0.0021696333,0.062218353,-0.30655038"
127,"128,1.0730997,2.2973843,-2.3534586,5.1305814,-8.047963,2.2534032,0.091310285,0.00074629823,0.07421782,0.0021696333,0.062218353,-0.30655038"
128,"129,1.0730997,2.2973843,-2.3534586,5.1305814,-8.047963,2.2534032,0.091310285,0.00074629823,0.07421782,0.0021696333,0.062218353,-0.30655038"
129,"130,1.0730997,2.2973843,-2.3534586,5.1305814,-8.047963,2.2534032,0.091310285,0.00074629823,0.07421782,0.0021696333,0.062218353,-0.30655038"
130,"131,1.0730997,2.2973843,-2.3534586,5.1305814,-8.047963,2.2534032,0.091310285,0.00074629823,0.07421782,0.0021696333,0.062218353,-0.30655038"
131,"132,1.0730997,2.2973843,-2.3534586,5.140243,-8.044674,2.2431011,0.08225676,-0.022962777,0.086385354,0.054406486,-0.09071421,0.26544547"
132,"133,1.0730997,2.2973843,-2.3534586,5.140243,-8.044674,2.2431011,0.08225676,-0.022962777,0.086385354,0.054406486,-0.09071421,0.26544547"
133,"134,1.0730997,2.2973843,-2.3534586,5.140243,-8.044674,2.2431011,0.08225676,-0.022962777,0.086385354,0.054406486,-0.09071421,0.26544547"
134,"135,1.0730997,2.2973843,-2.3534586,5.140243,-8.044674,2.2431011,0.08225676,-0.022962777,0.086385354,0.054406486,-0.09071421,0.26544547"
135,"136,1.0730997,2.2973843,-2.3534586,5.140243,-8.044674,2.2431011,0.08225676,-0.022962777,0.086385354,0.054406486,-0.09071421,0.26544547"
136,"137,1.0730997,2.2973843,-2.3534586,5.140243,-8.044674,2.2431011,0.08225676,-0.022962777,0.086385354,0.054406486,-0.09071421,0.26544547"
137,"138,1.0799044,2.2797468,-2.356722,5.161924,-8.034233,2.2306998,0.086819716,-0.059928495,0.08421247,-0.05906651,0.023592599,-0.25761274"
138,"139,1.0799044,2.2797468,-2.356722,5.161924,-8.034233,2.2306998,0.086819716,-0.059928495,0.08421247,-0.05906651,0.023592599,-0.25761274"
139,"140,1.0799044,2.2797468,-2.356722,5.161924,-8.034233,2.2306998,0.086819716,-0.059928495,0.08421247,-0.05906651,0.023592599,-0.25761274"
140,"141,1.0799044,2.2797468,-2.356722,5.161924,-8.034233,2.2306998,0.086819716,-0.059928495,0.08421247,-0.05906651,0.023592599,-0.25761274"
141,"142,1.0799044,2.2797468,-2.356722,5.161924,-8.034233,2.2306998,0.086819716,-0.059928495,0.08421247,-0.05906651,0.023592599,-0.25761274"
142,"143,1.0799044,2.2797468,-2.356722,5.161924,-8.034233,2.2306998,0.086819716,-0.059928495,0.08421247,-0.05906651,0.023592599,-0.25761274"
143,"144,1.0856705,2.265237,-2.358721,5.189955,-8.020442,2.2152328,0.10578378,-0.09290189,0.07493537,0.17808571,-0.3332774,-0.09713547"
144,"145,1.0856705,2.265237,-2.358721,5.189955,-8.020442,2.2152328,0.10578378,-0.09290189,0.07493537,0.17808571,-0.3332774,-0.09713547"
145,"146,1.0856705,2.265237,-2.358721,5.189955,-8.020442,2.2152328,0.10578378,-0.09290189,0.07493537,0.17808571,-0.3332774,-0.09713547"
146,"147,1.0856705,2.265237,-2.358721,5.189955,-8.020442,2.2152328,0.10578378,-0.09290189,0.07493537,0.17808571,-0.3332774,-0.09713547"
147,"148,1.0856705,2.265237,-2.358721,5.189955,-8.020442,2.2152328,0.10578378,-0.09290189,0.07493537,0.17808571,-0.3332774,-0.09713547"
148,"149,1.0856705,2.265237,-2.358721,5.189955,-8.020442,2.2152328,0.10578378,-0.09290189,0.07493537,0.17808571,-0.3332774,-0.09713547"
149,"150,1.0930904,2.2491207,-2.357741,5.220541,-7.9942446,2.2379427,0.13034987,-0.119237386,0.062324952,-0.5431578,0.8677132,0.16973735"
150,"151,1.0930904,2.2491207,-2.357741,5.220541,-7.9942446,2.2379427,0.13034987,-0.119237386,0.062324952,-0.5431578,0.8677132,0.16973735"
151,"152,1.0930904,2.2491207,-2.357741,5.220541,-7.9942446,2.2379427,0.13034987,-0.119237386,0.062324952,-0.5431578,0.8677132,0.16973735"
152,"153,1.0930904,2.2491207,-2.357741,5.220541,-7.9942446,2.2379427,0.13034987,-0.119237386,0.062324952,-0.5431578,0.8677132,0.16973735"
153,"154,1.0930904,2.2491207,-2.357741,5.220541,-7.9942446,2.2379427,0.13034987,-0.119237386,0.062324952,-0.5431578,0.8677132,0.16973735"
154,"155,1.0930904,2.2491207,-2.357741,5.220541,-7.9942446,2.2379427,0.13034987,-0.119237386,0.062324952,-0.5431578,0.8677132,0.16973735"
155,"156,1.1027321,2.2289765,-2.355336,5.2621927,-7.9560122,2.2763085,0.15338612,-0.15583473,0.046923105,-0.18746985,-0.1260947,-0.10896983"
156,"157,1.1027321,2.2289765,-2.355336,5.2621927,-7.9560122,2.2763085,0.15338612,-0.15583473,0.046923105,-0.18746985,-0.1260947,-0.10896983"
157,"158,1.1027321,2.2289765,-2.355336,5.2621927,-7.9560122,2.2763085,0.15338612,-0.15583473,0.046923105,-0.18746985,-0.1260947,-0.10896983"
158,"159,1.1027321,2.2289765,-2.355336,5.2621927,-7.9560122,2.2763085,0.15338612,-0.15583473,0.046923105,-0.18746985,-0.1260947,-0.10896983"
159,"160,1.1027321,2.2289765,-2.355336,5.2621927,-7.9560122,2.2763085,0.15338612,-0.15583473,0.046923105,-0.18746985,-0.1260947,-0.10896983"
160,"161,1.1027321,2.2289765,-2.355336,5.2621927,-7.9560122,2.2763085,0.15338612,-0.15583473,0.046923105,-0.18746985,-0.1260947,-0.10896983"
161,"162,1.1141045,2.2007217,-2.355616,5.305233,-7.920128,2.3014033,0.17342332,-0.21231812,0.03784403,-0.020540452,-0.27228782,-0.2318571"
162,"163,1.1141045,2.2007217,-2.355616,5.305233,-7.920128,2.3014033,0.17342332,-0.21231812,0.03784403,-0.020540452,-0.27228782,-0.2318571"
163,"164,1.1141045,2.2007217,-2.355616,5.305233,-7.920128,2.3014033,0.17342332,-0.21231812,0.03784403,-0.020540452,-0.27228782,-0.2318571"
164,"165,1.1141045,2.2007217,-2.355616,5.305233,-7.920128,2.3014033,0.17342332,-0.21231812,0.03784403,-0.020540452,-0.27228782,-0.2318571"
165,"166,1.1141045,2.2007217,-2.355616,5.305233,-7.920128,2.3014033,0.17342332,-0.21231812,0.03784403,-0.020540452,-0.27228782,-0.2318571"
